"service provider","project","community","hub ID","hub name","day","liters dispensed","dispense count","sum paid"
"Water provider","Water provider","village community 1","99001","Waterkiosk 1 (99001)","20220523","1149.7","71","6.79"
"Water provider","Water provider","village community 1","99001","Waterkiosk 1 (99001)","20220524","908.4","60","5.36"
"Water provider","Water provider","village community 1","99001","Waterkiosk 1 (99001)","20220525","1472.1","99","8.69"
"Water provider","Water provider","village community 1","99001","Waterkiosk 1 (99001)","20220526","1272.8","78","7.52"
"Water provider","Water provider","village community 1","99001","Waterkiosk 1 (99001)","20220527","1884.2","111","11.12"
"Water provider","Water provider","village community 1","99001","Waterkiosk 1 (99001)","20220528","1863.7","122","11"
"Water provider","Water provider","village community 1","99001","Waterkiosk 1 (99001)","20220529","2107.1","126","12.43"
"Water provider","Water provider","village community 1","99001","Waterkiosk 1 (99001)","20220530","2127.5","127","12.56"
"Water provider","Water provider","village community 1","99001","Waterkiosk 1 (99001)","20220531","2402.8","146","14.18"
"Water provider","Water provider","village community 1","99001","Waterkiosk 1 (99001)","20220601","2072.9","132","12.23"
"Water provider","Water provider","village community 1","99001","Waterkiosk 1 (99001)","20220602","2289","149","13.51"
"Water provider","Water provider","village community 1","99001","Waterkiosk 1 (99001)","20220603","1731.8","107","10.22"
"Water provider","Water provider","village community 1","99001","Waterkiosk 1 (99001)","20220604","1889.9","120","11.15"
"Water provider","Water provider","village community 1","99001","Waterkiosk 1 (99001)","20220605","2257.2","151","13.33"
"Water provider","Water provider","village community 1","99001","Waterkiosk 1 (99001)","20220606","2008.8","121","11.85"
"Water provider","Water provider","village community 1","99001","Waterkiosk 1 (99001)","20220607","1614.4","97","9.54"
"Water provider","Water provider","village community 1","99001","Waterkiosk 1 (99001)","20220608","2018.8","123","11.92"
"Water provider","Water provider","village community 1","99001","Waterkiosk 1 (99001)","20220609","2655.9","157","15.68"
"Water provider","Water provider","village community 1","99001","Waterkiosk 1 (99001)","20220610","1418.7","88","8.39"
"Water provider","Water provider","village community 1","99001","Waterkiosk 1 (99001)","20220611","507.9","35","3"
"Water provider","Water provider","village community 1","99001","Waterkiosk 1 (99001)","20220612","1288.9","83","7.61"
"Water provider","Water provider","village community 1","99001","Waterkiosk 1 (99001)","20220613","1438.5","91","8.49"
"Water provider","Water provider","village community 1","99001","Waterkiosk 1 (99001)","20220614","654.7","42","3.87"
"Water provider","Water provider","village community 2","99002","Waterkiosk 2 (99002)","20220523","175.1","24","0.88"
"Water provider","Water provider","village community 2","99002","Waterkiosk 2 (99002)","20220524","149.1","9","0.75"
"Water provider","Water provider","village community 2","99002","Waterkiosk 2 (99002)","20220525","132.6","9","0.66"
"Water provider","Water provider","village community 2","99002","Waterkiosk 2 (99002)","20220526","606.4","56","3.03"
"Water provider","Water provider","village community 2","99002","Waterkiosk 2 (99002)","20220527","26.1","5","0.13"
"Water provider","Water provider","village community 2","99002","Waterkiosk 2 (99002)","20220528","451.5","31","2.27"
"Water provider","Water provider","village community 2","99002","Waterkiosk 2 (99002)","20220529","166.6","14","0.83"
"Water provider","Water provider","village community 2","99002","Waterkiosk 2 (99002)","20220530","340.1","23","1.7"
"Water provider","Water provider","village community 2","99002","Waterkiosk 2 (99002)","20220531","195.9","26","0.98"
"Water provider","Water provider","village community 2","99002","Waterkiosk 2 (99002)","20220601","251.3","15","1.26"
"Water provider","Water provider","village community 2","99002","Waterkiosk 2 (99002)","20220602","216","20","1.08"
"Water provider","Water provider","village community 2","99002","Waterkiosk 2 (99002)","20220603","226.2","14","1.13"
"Water provider","Water provider","village community 2","99002","Waterkiosk 2 (99002)","20220604","767.2","44","3.83"
"Water provider","Water provider","village community 2","99002","Waterkiosk 2 (99002)","20220605","192.9","39","0.97"
"Water provider","Water provider","village community 2","99002","Waterkiosk 2 (99002)","20220606","0","3","0"
"Water provider","Water provider","village community 2","99002","Waterkiosk 2 (99002)","20220608","0","3","0"
"Water provider","Water provider","village community 2","99002","Waterkiosk 2 (99002)","20220610","0","5","0"
"Water provider","Water provider","village community 2","99002","Waterkiosk 2 (99002)","20220612","0","2","0"
"Water provider","Water provider","village community 2","99002","Waterkiosk 2 (99002)","20220613","0","3","0"
"Water provider","Water provider","village community 2","99002","Waterkiosk 2 (99002)","20220614","0","1","0"
"Water provider","Water provider","village community 2","99002","Waterkiosk 2 (99002)","20220616","0","1","0"
